序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
1,000001,上证指数,3683.58,0.47,17.14,405202063,559415780183.8,0.69,3683.74,3658.38,3659.81,3666.44,1.41
2,399001,深证成指,11587.38,1.19,135.95,466766583,751245370088.8513,1.47,11587.38,11419.28,11419.28,11451.43,1.24
3,899050,北证50,1472.06,2.74,39.26,6555755,16675486078.0,2.84,1472.55,1431.9,1432.26,1432.8,1.27
4,399006,创业板指,2522.62,2.14,52.96,168294962,381510666040.94,2.35,2522.62,2464.67,2464.67,2469.66,1.26
5,000680,科创综指,1408.85,1.21,16.85,28662137,114749898038.0,1.71,1411.44,1387.58,1387.58,1392.0,1.21
6,000688,科创50,1091.35,0.52,5.61,4946856,28343456023.0,1.64,1094.77,1077.0,1079.16,1085.74,1.3
7,399330,深证100,5005.34,0.97,47.96,39247638,113936409255.4,1.27,5005.34,4942.54,4944.41,4957.38,1.42
8,000300,沪深300,4193.01,0.47,19.7,143515225,274623935568.8,0.85,4193.01,4157.5,4162.42,4173.31,1.47
9,000016,上证50,2828.51,-0.03,-0.96,41360753,74921607275.0,0.64,2831.11,2813.09,2821.97,2829.47,1.8
10,399673,创业板50,2559.69,2.2,55.15,20791969,91926835085.13,2.45,2559.69,2498.42,2498.42,2504.54,1.59
11,000888,上证综合全收益,4190.45,0.48,19.96,405202063,559415780183.8,0.69,4190.63,4161.77,4163.41,4170.49,1.41
12,399750,深主板50,8511.77,0.11,9.54,20533480,37567414887.5,0.75,8524.77,8460.66,8479.76,8502.23,1.27
13,899601,北证专精特新,2548.82,2.73,67.85,1450877,5390477329.0,3.28,2559.51,2478.21,2479.29,2480.97,1.32
14,930050,中证A50,1634.35,0.3,4.85,24841182,64678736513.0,0.83,1634.4,1620.82,1624.93,1629.5,1.32
15,000903,中证A100,3966.3,0.3,11.84,54307540,125100321266.7,0.72,3966.3,3937.87,3942.68,3954.46,1.24
16,000510,中证A500,4973.34,0.69,34.29,194071624,372202674461.3,0.97,4973.34,4925.54,4926.29,4939.05,1.36
17,000904,中证200,4925.79,1.0,48.6,72451301,127921989720.0,1.26,4926.02,4864.78,4864.78,4877.19,1.33
18,000905,中证500,6535.85,1.65,106.0,141935044,225357443967.2,1.84,6535.85,6417.39,6417.39,6429.85,1.48
19,000906,中证800,4585.21,0.78,35.67,285450269,499981379536.0,1.05,4585.21,4537.29,4538.47,4549.54,1.47
20,000852,中证1000,7071.75,1.37,95.26,180177545,290594961514.3,1.65,7071.75,6956.51,6956.51,6976.49,1.3
21,932000,中证2000,3010.01,1.42,42.08,241987711,347830005656.0,1.58,3011.13,2964.3,2964.3,2967.93,1.21
22,000985,中证全指,5391.14,1.02,54.31,844422775,1291494751818.0,1.24,5391.14,5324.87,5324.87,5336.83,1.31
23,000010,上证180,9225.83,0.39,36.1,95839525,154126220736.0,0.82,9226.18,9150.49,9161.06,9189.73,1.49
24,000009,上证380,6030.09,1.49,88.38,68521359,115541877825.0,1.63,6030.27,5933.14,5933.14,5941.71,1.43
25,000132,上证100,5531.55,1.23,67.4,11203827,28330671508.0,1.56,5536.03,5450.73,5451.87,5464.15,1.52
26,000133,上证150,6008.51,1.32,78.32,14254873,27682821780.0,1.65,6015.46,5917.81,5917.81,5930.19,1.09
27,000003,Ｂ股指数,266.54,0.38,1.0,315838,120199585.8,0.61,266.7,265.09,265.4,265.54,1.27
28,000012,国债指数,225.69,0.01,0.02,12753546,12909722915.0,0.02,225.71,225.67,225.68,225.67,1.53
29,000013,企债指数,300.36,0.01,0.02,519800,530112854.0,0.0,300.36,300.36,300.36,300.34,0.29
30,000011,基金指数,7019.68,0.1,7.03,739688840,207952716454.0,0.15,7019.68,7009.35,7009.53,7012.65,1.37
31,399002,深成指R,15492.32,1.19,182.82,298303767,369676342321.06,1.47,15492.32,15267.57,15267.57,15309.5,1.23
32,399850,深证50,7860.16,1.03,80.21,22684670,77890838387.25,1.32,7860.16,7757.71,7762.62,7779.95,1.45
33,399005,中小100,7094.17,0.74,52.26,29442634,63304225375.08,1.05,7094.71,7020.46,7020.46,7041.91,1.36
34,399003,成份Ｂ指,8708.87,-0.07,-6.49,167854,58361726.8513,0.33,8732.55,8703.5,8712.48,8715.36,0.76
35,399106,深证综指,2290.15,1.26,28.49,466766583,751245370088.8513,1.48,2290.15,2256.78,2256.78,2261.66,1.24
36,399004,深证100R,7078.22,0.97,67.84,39247638,113936409255.4,1.27,7078.22,6989.43,6992.07,7010.38,1.42
37,399007,深证300,4849.66,1.17,56.25,92470102,218209637338.32,1.42,4849.66,4781.55,4781.55,4793.41,1.37
38,399008,中小300,1450.09,0.96,13.83,81266226,138492158095.09,1.26,1450.48,1432.33,1432.33,1436.26,1.26
39,399293,创业大盘,4953.19,2.33,112.88,15934534,82279177425.2,2.56,4953.19,4829.46,4829.46,4840.31,1.61
40,399019,创业200,4321.04,1.49,63.38,43283777,84590369412.42,2.13,4321.98,4231.11,4231.11,4257.66,1.28
41,399020,创业小盘,1723.19,1.79,30.32,35632089,69737429450.22,1.89,1723.71,1691.77,1691.77,1692.87,1.23
42,399100,新指数,10735.76,1.23,130.16,455754449,744189269582.13,1.45,10735.76,10582.45,10582.45,10605.6,1.25
43,399550,央视50,7715.26,0.13,9.75,24597262,42380059673.03,0.46,7715.26,7679.9,7699.08,7705.51,1.98
