date,open,high,low,close
2025-07-17,15.17,15.3,14.72,15.3
2025-07-18,15.49,16.33,14.96,15.07
2025-07-21,15.56,15.78,14.94,15.49
2025-07-22,15.61,15.77,15.21,15.71
2025-07-23,16.15,18.46,16.11,17.37
2025-07-24,17.09,17.09,16.56,16.89
2025-07-25,17.25,17.35,16.8,17.13
2025-07-28,18.1,18.11,17.34,17.74
2025-07-29,17.8,18.04,17.47,17.86
2025-07-30,17.89,18.48,17.2,17.33
2025-07-31,17.2,17.59,17.02,17.14
2025-08-01,17.36,17.39,15.99,16.08
2025-08-04,17.06,17.06,15.93,16.03
2025-08-05,16.32,16.32,15.6,15.84
2025-08-06,15.98,16.1,15.76,15.89
2025-08-07,16.12,16.31,15.87,15.9
2025-08-08,16.11,16.11,15.5,15.51
2025-08-11,16.15,16.24,15.88,16.08
2025-08-12,16.31,16.76,16.21,16.44
