index,date,open,high,low,close,volume,amount,outstanding_share,turnover
1723,2025-07-17,265.37,267.75,264.36,265.5,14511017.0,3852746251.0,4252126694.0,0.003412649256306473
1724,2025-07-18,268.7,272.45,265.8,271.2,22186558.0,5981601235.0,4252126694.0,0.005217755630683943
1725,2025-07-21,277.0,282.0,273.55,279.66,32486275.0,9047295149.0,4252126694.0,0.007640006363366369
1726,2025-07-22,280.0,290.0,279.18,286.66,33309029.0,9468912161.0,4252126694.0,0.007833498716536597
1727,2025-07-23,288.16,290.75,286.59,287.02,20018974.0,5772653126.0,4252126694.0,0.0047079909515038544
1728,2025-07-24,289.0,289.2,282.91,285.2,22389114.0,6394082072.0,4252126694.0,0.005265392028791699
1729,2025-07-25,285.2,285.2,281.75,282.8,13432601.0,3802835260.0,4252126694.0,0.003159031225234701
1730,2025-07-28,283.02,289.09,281.3,286.3,23897336.0,6830867029.0,4252126694.0,0.005620090302981927
1731,2025-07-29,286.7,292.0,286.68,291.82,23394555.0,6785427583.0,4252126694.0,0.005501848059468945
1732,2025-07-30,292.2,292.2,276.36,277.09,41594301.0,11712764593.0,4252126694.0,0.009781999454224165
1733,2025-07-31,280.8,281.98,264.62,264.62,44710355.0,12088514551.0,4252126694.0,0.010514821927363766
1734,2025-08-01,264.8,266.6,262.75,263.07,25250002.0,6682814646.0,4252126694.0,0.00593820547154186
1735,2025-08-04,263.0,268.0,261.7,266.48,23768168.0,6286238371.0,4252126694.0,0.005589713033136637
1736,2025-08-05,267.5,269.0,263.5,265.7,21976040.0,5844478670.0,4252126694.0,0.0051682467577952185
1737,2025-08-06,265.22,266.9,263.23,265.0,15323311.0,4058482396.0,4252126694.0,0.003603681663959376
1738,2025-08-07,265.0,266.49,262.2,263.05,16548104.0,4363462114.0,4252126694.0,0.003891724116158238
1739,2025-08-08,264.0,266.16,262.01,263.48,17428216.0,4604736203.0,4252126694.0,0.00409870571932681
1740,2025-08-11,263.48,266.15,262.5,263.66,21330876.0,5627553110.0,4252126694.0,0.005016519387839293
1741,2025-08-12,263.5,265.18,257.72,263.25,22240739.0,5829140856.0,4252126694.0,0.005230497725146098
1742,2025-08-13,264.77,275.0,264.51,273.6,39466769.0,10661084797.0,4252126714.0,0.009281654017989832
1743,2025-08-14,276.89,282.0,274.48,279.89,37170757.0,10378442059.0,4252126714.0,0.00874168610206662
